id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1074,IPL-2024,Hyderabad,02-05-2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,1,Sunrisers Hyderabad,1.0,0.0,B Kumar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1075,IPL-2024,Mumbai,03-05-2024,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,1,Kolkata Knight Riders,24.0,0.0,VR Iyer,"Wankhede Stadium, Mumbai",,,
1076,IPL-2024,Bengaluru,04-05-2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0.0,4.0,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",,,
1077,IPL-2024,Dharamsala,05-05-2024,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,1,Chennai Super Kings,28.0,0.0,RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,
1078,IPL-2024,Lucknow,05-05-2024,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,normal,1,Kolkata Knight Riders,98.0,0.0,SP Narine,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1079,IPL-2024,Mumbai,06-05-2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,1,Mumbai Indians,0.0,7.0,SA Yadav,"Wankhede Stadium, Mumbai",,,
1080,IPL-2024,Delhi,07-05-2024,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,1,Delhi Capitals,20.0,0.0,Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",,,
1081,IPL-2024,Hyderabad,08-05-2024,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,normal,1,Sunrisers Hyderabad,0.0,10.0,TM Head,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1082,IPL-2024,Dharamsala,09-05-2024,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,1,Royal Challengers Bangalore,60.0,0.0,V Kohli,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,
1083,IPL-2024,Ahmedabad,10-05-2024,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,normal,1,Gujarat Titans,35.0,0.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",,,
1084,IPL-2024,Kolkata,11-05-2024,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,1,Kolkata Knight Riders,18.0,0.0,CV Varun,"Eden Gardens, Kolkata",,,
1085,IPL-2024,Chennai,12-05-2024,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,1,Chennai Super Kings,0.0,5.0,Simarjeet Singh,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1086,IPL-2024,Bengaluru,12-05-2024,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,1,Royal Challengers Bangalore,47.0,0.0,C Green,"M Chinnaswamy Stadium, Bengaluru",,,
1087,IPL-2024,Delhi,14-05-2024,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,normal,1,Delhi Capitals,19.0,0.0,I Sharma,"Arun Jaitley Stadium, Delhi",,,
1088,IPL-2024,Guwahati,15-05-2024,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,normal,1,Punjab Kings,0.0,5.0,SM Curran,"Barsapara Cricket Stadium, Guwahati",,,
1089,IPL-2024,Mumbai,17-05-2024,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,normal,1,Lucknow Super Giants,18.0,0.0,N Pooran,"Wankhede Stadium, Mumbai",,,
1090,IPL-2024,Bengaluru,18-05-2024,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,1,Royal Challengers Bangalore,27.0,0.0,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",,,
1091,IPL-2024,Hyderabad,19-05-2024,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,normal,1,Sunrisers Hyderabad,0.0,4.0,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1092,IPL-2024,Ahmedabad,21-05-2024,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,1,Kolkata Knight Riders,0.0,8.0,MA Starc,"Narendra Modi Stadium, Ahmedabad",,,
1093,IPL-2024,Ahmedabad,22-05-2024,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,1,Rajasthan Royals,0.0,4.0,R Ashwin,"Narendra Modi Stadium, Ahmedabad",,,
1094,IPL-2024,Chennai,24-05-2024,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,1,Sunrisers Hyderabad,36.0,0.0,Shahbaz Ahmed,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1095,IPL-2024,Chennai,26-05-2024,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,1,Kolkata Knight Riders,0.0,8.0,MA Starc,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1096,IPL-2025,Kolkata,22-03-2025,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0.0,7.0,KH Pandya,"Eden Gardens, Kolkata",,,
1097,IPL-2025,Hyderabad,23-03-2025,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,1,Sunrisers Hyderabad,44.0,0.0,Ishan Kishan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1098,IPL-2025,Chennai,23-03-2025,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,1,Chennai Super Kings,0.0,4.0,Noor Ahmad,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1099,IPL-2025,Visakhapatnam,24-03-2025,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,normal,1,Delhi Capitals,0.0,1.0,Ashutosh Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,
1100,IPL-2025,Ahmedabad,25-03-2025,Punjab Kings,Gujarat Titans,Gujarat Titans,field,normal,1,Punjab Kings,11.0,0.0,SS Iyer,"Narendra Modi Stadium, Ahmedabad",,,
1101,IPL-2025,Guwahati,26-03-2025,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0.0,8.0,Q de Kock,"Barsapara Cricket Stadium, Guwahati",,,
1102,IPL-2025,Hyderabad,27-03-2025,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,normal,1,Lucknow Super Giants,0.0,5.0,SN Thakur,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
1103,IPL-2025,Chennai,28-03-2025,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,1,Royal Challengers Bangalore,50.0,0.0,RM Patidar,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1104,IPL-2025,Ahmedabad,29-03-2025,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,normal,1,Gujarat Titans,36.0,0.0,M Prasidh Krishna,"Narendra Modi Stadium, Ahmedabad",,,
1105,IPL-2025,Visakhapatnam,30-03-2025,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,1,Delhi Capitals,0.0,7.0,MA Starc,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,
1106,IPL-2025,Guwahati,30-03-2025,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,1,Rajasthan Royals,6.0,0.0,N Rana,"Barsapara Cricket Stadium, Guwahati",,,
1107,IPL-2025,Mumbai,31-03-2025,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,1,Mumbai Indians,0.0,8.0,Ashwani Kumar,"Wankhede Stadium, Mumbai",,,
1108,IPL-2025,Lucknow,01-04-2025,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,normal,1,Punjab Kings,0.0,8.0,P Simran Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1109,IPL-2025,Bengaluru,02-04-2025,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,normal,1,Gujarat Titans,0.0,8.0,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",,,
1110,IPL-2025,Kolkata,03-04-2025,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Kolkata Knight Riders,80.0,0.0,VG Arora,"Eden Gardens, Kolkata",,,
1111,IPL-2025,Lucknow,04-04-2025,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,normal,1,Lucknow Super Giants,12.0,0.0,DS Rathi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,
1112,IPL-2025,Chennai,05-04-2025,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,1,Delhi Capitals,25.0,0.0,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",,,
1113,IPL-2025,Mohali,05-04-2025,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,1,Rajasthan Royals,50.0,0.0,JC Archer,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",,,
1114,IPL-2025,Hyderabad,06-04-2025,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,normal,1,Gujarat Titans,0.0,7.0,Mohammed Siraj,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,
